smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
OC[C@H]1C[C@@H](O)[C@H](O)O1	13436366	ZUYIBYOYYUXIGY-UOWFLXDJSA-N	134.131	-1.553	0	30	AAAC	
NCCn1oc(=O)nc1O	26895621	LIPCXBVXQUFCSC-UHFFFAOYSA-N	145.118	-1.499	0	30	AAAC	
Cn1nnc([C@@H]2CNCCO2)n1	1857666227	LMVXAHSTEVOPRC-YFKPBYRVSA-N	169.188	-1.129	0	30	AAAC	
C[C@H]1NNC[C@@H](O)[C@@H]1O	34617588	SFWAQASNOSFXTF-UOWFLXDJSA-N	132.163	-1.796	0	30	AAAC	
CNCC1(O)CN(C)C1	2265385507	CPBAGRKUKYEINP-UHFFFAOYSA-N	130.191	-1.118	0	30	AAAC	
N[C@@H](CO)C(=O)NCCCCO	1574263154	VEYWMGASGLLFGE-LURJTMIESA-N	176.216	-1.805	0	30	AAAC	
C[C@H]1NC(=O)[C@H]2C[C@H](O)CN2C1=O	13413527	JBVUOARNEYAAOS-NGJCXOISSA-N	184.195	-1.534	0	30	AAAC	
O=C(O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	167015064	UDQPBAKZZSWNSE-TXICZTDVSA-N	178.140	-2.448	0	30	AAAC	biogenic
N=C(N)NCP(=O)(O)O	5411154	MAAFMNFCKWEWLO-UHFFFAOYSA-N	153.078	-1.395	0	30	AAAC	
C[C@H](N)C(=O)OC[C@H](O)CO	39072947	XFGOYBHCRRBKHR-CRCLSJGQSA-N	163.173	-1.770	0	30	AAAC	
CN1CCN(CC[C@@H](O)CO)CC1	39115321	NFOPFURNJJEVPZ-SECBINFHSA-N	188.271	-1.023	0	30	AAAC	
NC1=N[C@H](O)N=CN1	44075675	OOGSYSVTFDRODC-GSVOUGTGSA-N	114.108	-1.792	0	30	AAAC	
CC1(C)CN(O)[C@@H](C(N)=O)CN1	39113885	PHJIFTVHBTUUCQ-RXMQYKEDSA-N	173.216	-1.087	0	30	AAAC	
O=C1NC(=O)c2[nH]c(=O)c(O)nc21	39114307	JCQFLMWRKBYHKH-UHFFFAOYSA-N	181.107	-1.641	0	30	AAAC	
CC(=O)Nn1cc(F)c(=O)[nH]c1=O	39125829	YCOVOIDNPFNHIA-UHFFFAOYSA-N	187.130	-1.234	0	30	AAAC	
C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	1577099	SKCKOFZKJLZSFA-KAZBKCHUSA-N	166.173	-2.558	0	30	AAAC	
N[C@@H](Cn1ncnn1)C(=O)O	2511789	PBUXSPZZJMCMSU-VKHMYHEASA-N	157.133	-1.915	0	30	AAAC	
CO[C@@]12C[C@H](CN)O[C@H]1NC(=O)N2	223508746	ZQUVIMMCBFDKQI-XAHCXIQSSA-N	187.199	-1.284	0	30	AAAC	
O=C(O)[C@H]1NC[C@@H](O)[C@H]1O	15116093	HWNGLKPRXKKTPK-FLRLBIABSA-N	147.130	-2.235	0	30	AAAC	
O=C(NCO)OCCO	5178820	NHWYGOGAJKUGIY-UHFFFAOYSA-N	135.119	-1.345	0	30	AAAC	
CC(=O)N(C=O)CN(C=O)C(C)=O	5196725	KHDWSPPUGCOVPL-UHFFFAOYSA-N	186.167	-1.046	0	30	AAAC	
Nc1c[n+]([O-])cc(CO)n1	39060927	GWIBYQFDLOHRLL-UHFFFAOYSA-N	141.130	-1.211	0	30	AAAC	
O=C(O)[C@H](O)C[C@H](O)[C@H](O)CO	12502656	YGMNHEPVTNXLLS-VPENINKCSA-N	180.156	-2.464	0	30	AAAC	biogenic
OCC[C@@H]1NCCN[C@@H]1CCO	39113922	NINGMGSDVHJZHQ-OCAPTIKFSA-N	174.244	-1.319	0	30	AAAC	
N#CN(CO)C(=N)N	31361870	AJNGGICLMPCMAQ-UHFFFAOYSA-N	114.108	-1.387	0	30	AAAC	
OC[C@@]1(O)OC[C@@H](O)[C@H](O)[C@H]1O	895134	LKDRXBCSQODPBY-JGWLITMVSA-N	180.156	-3.220	0	30	AAAC	in-vitro
O=C(O)C[C@@H]1CNCC(=O)N1	83269143	HMOKSCKVFPVTKZ-SCSAIBSYSA-N	158.157	-1.451	0	30	AAAC	
O=C(O)C[C@H](NO)C(=O)O	13515317	YDBVAWZTOAZPTJ-REOHCLBHSA-N	149.102	-1.107	0	30	AAAC	in-vitro
NCC(=O)N[C@@H]1CONC1=O	39067759	LHGIZPQIVKOLPV-GSVOUGTGSA-N	159.145	-2.509	0	30	AAAC	
NCCCN1C[C@@H](O)[C@H](O)C1	38363019	PWMSUVBQCZVVBB-RNFRBKRXSA-N	160.217	-1.627	0	30	AAAC	
NC(=O)N1C(=O)N[C@H](O)[C@@H]1O	39065597	BXMBZPJCUFAAEX-NCGGTJAESA-N	161.117	-2.273	0	30	AAAC	
CN1C(=O)C(=O)N[C@H]2N=CN=C[C@@H]21	96336356	LJZUNCZQSQESRP-CRCLSJGQSA-N	180.167	-1.618	0	30	AAAC	
OCCN1CN=C(S)N(CO)C1	33650283	CRVHHINBIZCGLC-UHFFFAOYSA-N	191.256	-1.253	0	30	AAAC	
O=C(O)[C@@H](O)[C@H]1O[C@H](O)[C@H](O)[C@H]1O	5783662	OEVWLAOZEALENB-CLQWQSTFSA-N	194.139	-3.129	0	30	AAAC	
O=C1O[C@@H]2C[C@@]1(O)C=C[C@H]2O	39059826	CONGMTFRHMNXEP-XAHCXIQSSA-N	156.137	-1.036	0	30	AAAC	
N[C@]1(C(=O)O)CC[S@@](=O)C1	167257939	MZTSTIZDZRGKHJ-FWOIEVBISA-N	163.198	-1.079	0	30	AAAC	
CN(C)CC(=O)NCO	39077982	UROLZPDVAVUIBL-UHFFFAOYSA-N	132.163	-1.386	0	30	AAAC	
NCCCOC[C@@H](O)CO	43163771	LCTPWIYQTIJTQU-LURJTMIESA-N	149.190	-1.295	0	30	AAAC	
CS(=O)(=O)C1(C(=O)O)CC(N)C1	2265384750	UCNCJWAVPCQUCI-UHFFFAOYSA-N	193.224	-1.025	0	30	AAAC	
CC(C)OC(=O)[C@@H](O)[C@H](O)C(=O)O	2539190	SSZYZSRPAKZEIB-WHFBIAKZSA-N	192.167	-1.256	0	30	AAAC	biogenic
O=C1NCN[C@@H]2NCN[C@@H]12	207959114	XLZVGCGLPLUGGX-DMTCNVIQSA-N	142.162	-2.492	0	30	AAAC	
COC(=O)CN1C=CNN1	2265356103	XRLLGOBMHNCSLE-UHFFFAOYSA-N	143.146	-1.045	0	30	AAAC	
CC(C)OC(=O)[C@@H](O)[C@@H](O)C(=O)O	136711549	SSZYZSRPAKZEIB-UHNVWZDZSA-N	192.167	-1.256	0	30	AAAC	biogenic
C[C@]12NCCN3CCN(CCN1)[C@@H]32	2265357464	WVMTVJMOBYVFMA-DTORHVGOSA-N	182.271	-1.147	0	30	AAAC	
NC1=C[C@](N)(Cl)NC(N)=N1	104394445	IMRDTLDXMGRZLQ-SCSAIBSYSA-N	161.596	-1.444	0	30	AAAC	
N[C@H](Cc1c[nH]oc1=O)C(=O)O	1492528	LVNJBTYSYFSYFG-SCSAIBSYSA-N	172.140	-1.078	0	30	AAAC	biogenic
NC(=O)NC(=O)NC(=O)C(N)=O	33605916	XYISUGIJDGQPCY-UHFFFAOYSA-N	174.116	-2.624	0	30	AAAC	
COC(=O)[C@@H]1C[N@]1CCO	1933295811	QYVFPBCKDPTMIF-FSPLSTOPSA-N	145.158	-1.164	0	30	AAAC	
N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O	12953603	RQBSUMJKSOSGJJ-KKQCNMDGSA-N	149.146	-2.616	0	30	AAAC	in-vitro
